,name,sport,training_effect,anaerobic_training_effect,start_time,stop_time,elapsed_time,distance,avg_hr,max_hr,calories,avg_cadence,max_cadence,avg_speed,max_speed,ascent,descent,start_lat,start_long,stop_lat,stop_long,start_date,hour,month,week,day_name,day_date,start_minute,start_second,start_microsecond,calpermin,total_time,work_day
67,Rowing 1 on 2 soft,indoor_rowing,0.3,0.0,2023-02-04 11:00:37,2023-02-04 11:07:34.000000,2023-05-04 00:06:42,0.0,113.0,136.0,58,24.0,51.0,0.0,,,,,,,,2023-02-04,11,2,5,Saturday,4,6,42,0,8.656716417910447,6.7,Work Day
70,Rowing 1 on 2 soft,indoor_rowing,0.3,0.0,2023-02-05 10:52:11,2023-02-05 10:59:26.000000,2023-05-04 00:06:23,0.0,112.0,119.0,53,24.0,31.0,0.0,,,,,,,,2023-02-05,10,2,5,Sunday,5,6,23,0,8.302872062663186,6.383333333333334,Work Day
71,Run,running,3.1,0.0,2023-02-05 11:01:06,2023-02-05 11:23:53.000000,2023-05-04 00:22:35,1.741684832464,160.0,172.0,354,75.0,80.0,4.62598382293129,5.11363572586632,,,,,,,2023-02-05,11,2,5,Sunday,5,22,35,0,15.675276752767529,22.583333333333332,Work Day
72,Rowing 1 on 2 soft,indoor_rowing,1.2,0.0,2023-02-05 11:37:56,2023-02-05 11:37:56.000000,2023-05-04 00:09:06,0.0,136.0,164.0,114,25.0,35.0,0.0,,,,,,,,2023-02-05,11,2,5,Sunday,5,9,6,0,12.527472527472527,9.1,Work Day
73,Delhi Running,running,2.6,0.1,2023-02-06 10:55:08,2023-02-06 11:38:46.000000,2023-05-04 00:41:41,3.137402608192,150.0,170.0,526,71.0,83.0,4.51413659626961,6.32381785440254,252.6246723,400.2624678,39.1082528885454,-84.6425868943334,39.1085574030876,-84.6431266050786,2023-02-06,10,2,6,Monday,6,41,41,0,12.618952419032388,41.68333333333333,Work Day
74,Delhi - Run,running,2.5,0.6,2023-02-07 10:49:48,2023-02-07 11:04:25.000000,2023-05-04 00:14:24,1.261675580464,158.0,178.0,217,72.0,87.0,5.25679938666916,7.99480899946976,154.1994753,200.1312339,39.1081951372325,-84.6422061882913,39.1051230020821,-84.6440193615854,2023-02-07,10,2,6,Tuesday,7,14,24,0,15.069444444444445,14.4,Work Day
75,Delhi Walking,walking,0.3,0.0,2023-02-07 11:12:06,2023-02-07 11:19:07.000000,2023-05-04 00:06:52,0.36928090416,116.0,123.0,61,50.0,55.0,3.22342474186707,3.52764812106609,85.3018374,88.5826773,39.1061580833048,-84.640809930861,39.1084217838943,-84.642976988107,2023-02-07,11,2,6,Tuesday,7,6,52,0,8.883495145631068,6.866666666666667,Work Day
76,Rowing 1 on 2 soft,indoor_rowing,0.7,0.0,2023-02-08 12:22:36,2023-02-08 12:39:11.000000,2023-05-04 00:16:21,0.0,117.0,135.0,149,26.0,37.0,0.0,,,,,,,,2023-02-08,12,2,6,Wednesday,8,16,21,0,9.1131498470948,16.35,Off Day
77,Delhi - Run,running,3.2,0.0,2023-02-08 12:59:35,2023-02-08 13:25:34.000000,2023-05-04 00:25:28,2.286627374864,164.0,174.0,407,76.0,80.0,5.41562206453323,6.03301645173264,272.3097117,226.3779531,39.1115432046354,-84.6356429904699,39.1116594616324,-84.6351868472993,2023-02-08,12,2,6,Wednesday,8,25,28,0,15.981675392670159,25.466666666666665,Off Day
78,Delhi - Recovery,running,2.3,0.0,2023-02-09 11:34:23,2023-02-09 12:05:35.000000,2023-05-04 00:31:02,2.293008857088,152.0,167.0,395,74.0,79.0,4.43137009653473,4.86309891946602,291.9947511,282.1522314,39.1084390506148,-84.643074804917,39.1084135696292,-84.6430397685617,2023-02-09,11,2,6,Thursday,9,31,2,0,12.728249194414607,31.033333333333335,Off Day
