day,hr_avg,hr_min,hr_max,rhr,inactive_hr,weight,intensity_time,moderate_activity_time,vigorous_activity_time,steps,steps_goal_percent,floors,floors_goal_percent,sleep_avg,rem_sleep_avg,stress_avg,calories_avg,calories_bmr_avg,calories_active_avg,calories_consumed_avg,calories_goal,activities,activities_calories,activities_distance,hydration_goal,hydration_avg,sweat_loss_avg,spo2_avg,spo2_min,rr_waking_avg,rr_max,rr_min,bb_max,bb_min
2023-02-27,71.6,39.0,166.0,47.0,56.7,245.8,00:50:00.000000,00:02:00.000000,00:24:00.000000,11504,102.0,0.0,0.0,09:41:00.000000,01:21:00.000000,20.0,3272.0,2620.0,652.0,0.0,2820.0,1,382.0,2.2,100.0,0.0,7.0,93.0,82.0,13.0,24.0,11.0,94.0,5.0
2023-02-26,78.1,54.0,106.0,53.0,70.4,,00:00:00.000000,00:00:00.000000,00:00:00.000000,12775,117.0,0.0,0.0,03:58:00.000000,00:30:00.000000,44.0,3299.0,2637.0,662.0,0.0,2820.0,,,,100.0,,,94.0,87.0,15.0,23.0,12.0,19.0,5.0
2023-02-25,74.7,43.0,169.0,46.0,58.3,249.0,00:43:00.000000,00:03:00.000000,00:20:00.000000,14835,142.0,0.0,0.0,08:28:00.000000,02:02:00.000000,28.0,3730.0,2637.0,1093.0,0.0,2820.0,1,308.0,1.8,100.0,0.0,6.0,92.0,79.0,13.0,24.0,11.0,89.0,7.0
2023-02-24,72.8,43.0,113.0,48.0,62.0,,00:00:00.000000,00:00:00.000000,00:00:00.000000,10191,97.0,0.0,0.0,08:29:00.000000,01:23:00.000000,29.0,3240.0,2623.0,617.0,0.0,2820.0,,,,100.0,,,89.0,79.0,13.0,22.0,10.0,78.0,10.0
2023-02-23,71.2,45.0,165.0,49.0,61.3,,01:14:00.000000,00:20:00.000000,00:27:00.000000,9610,89.0,0.0,0.0,08:08:00.000000,01:54:00.000000,34.0,3236.0,2623.0,613.0,0.0,2820.0,1,535.0,3.2,100.0,0.0,16.0,,,14.0,24.0,11.0,71.0,12.0
2023-02-22,68.7,44.0,166.0,50.0,64.1,,00:58:00.000000,00:02:00.000000,00:28:00.000000,6583,56.0,0.0,0.0,07:03:00.000000,00:44:00.000000,32.0,3068.0,2623.0,445.0,0.0,2820.0,1,393.0,2.3,100.0,0.0,6.0,,,14.0,21.0,10.0,84.0,15.0
2023-02-21,70.9,47.0,177.0,51.0,61.9,,01:28:00.000000,00:12:00.000000,00:38:00.000000,9142,76.0,0.0,0.0,08:16:00.000000,00:58:00.000000,30.0,3317.0,2623.0,694.0,,2820.0,3,595.0,3.4,100.0,0.0,12.0,,,13.0,21.0,9.0,69.0,5.0
2023-02-20,76.5,49.0,167.0,52.0,63.0,246.2,01:02:00.000000,00:02:00.000000,00:30:00.000000,14628,128.0,0.0,0.0,07:47:00.000000,01:48:00.000000,30.0,3523.0,2623.0,900.0,0.0,2820.0,1,413.0,2.4,100.0,0.0,9.0,,,13.0,22.0,10.0,57.0,5.0
2023-02-19,76.4,44.0,171.0,50.0,61.7,248.0,00:52:00.000000,00:04:00.000000,00:24:00.000000,12242,109.0,0.0,0.0,08:20:00.000000,01:16:00.000000,32.0,3607.0,2632.0,975.0,0.0,2820.0,1,378.0,2.2,100.0,0.0,8.0,,,13.0,22.0,10.0,70.0,5.0
2023-02-18,78.6,46.0,157.0,50.0,63.3,248.2,00:55:00.000000,00:29:00.000000,00:13:00.000000,14120,135.0,0.0,0.0,07:40:00.000000,01:46:00.000000,35.0,3812.0,2633.0,1179.0,,2820.0,3,414.0,1.0,100.0,0.0,8.0,,,13.0,21.0,10.0,54.0,5.0
